名称,手环,采集时间,开始时间,结束时间,入库时间,num-1,num-2,num-3
null,343jo1ql3smt,null,null,null,null,197,122,0
null,343jo1ql3smt,null,null,null,null,198,123,0
null,343jo1ql3smt,null,null,null,null,198,124,0
null,343jo1ql3smt,null,null,null,null,204,123,0
null,343jo1ql3smt,null,null,null,null,192,123,0
null,343jo1ql3smt,null,null,null,null,198,122,0
null,343jo1ql3smt,null,null,null,null,198,123,0
null,343jo1ql3smt,null,null,null,null,198,122,0
null,343jo1ql3smt,null,null,null,null,203,122,0
null,343jo1ql3smt,null,null,null,null,199,122,0
null,343jo1ql3smt,null,null,null,null,195,123,0
null,343jo1ql3smt,null,null,null,null,194,122,0
null,343jo1ql3smt,null,null,null,null,196,122,0
null,343jo1ql3smt,null,null,null,null,202,121,0
null,343jo1ql3smt,null,null,null,null,197,122,0
null,343jo1ql3smt,null,null,null,null,199,122,0
null,343jo1ql3smt,null,null,null,null,196,122,0
null,343jo1ql3smt,null,null,null,null,194,123,0
null,343jo1ql3smt,null,null,null,null,199,123,0
null,343jo1ql3smt,null,null,null,null,197,123,0
null,343jo1ql3smt,null,null,null,null,201,121,0
null,343jo1ql3smt,null,null,null,null,206,122,0
null,343jo1ql3smt,null,null,null,null,199,122,0
null,343jo1ql3smt,null,null,null,null,200,121,0
null,343jo1ql3smt,null,null,null,null,195,122,0
null,343jo1ql3smt,null,null,null,null,195,121,0
null,343jo1ql3smt,null,null,null,null,194,123,0
null,343jo1ql3smt,null,null,null,null,199,122,0
null,343jo1ql3smt,null,null,null,null,189,123,0
null,343jo1ql3smt,null,null,null,null,199,124,0
null,343jo1ql3smt,null,null,null,null,198,122,0
null,343jo1ql3smt,null,null,null,null,202,123,0
null,343jo1ql3smt,null,null,null,null,194,123,0
null,343jo1ql3smt,null,null,null,null,198,123,0
null,343jo1ql3smt,null,null,null,null,201,123,0
null,343jo1ql3smt,null,null,null,null,192,122,0
null,343jo1ql3smt,null,null,null,null,196,123,0
null,343jo1ql3smt,null,null,null,null,201,122,0
null,343jo1ql3smt,null,null,null,null,204,123,0
null,343jo1ql3smt,null,null,null,null,198,123,0
null,343jo1ql3smt,null,null,null,null,200,123,0
null,343jo1ql3smt,null,null,null,null,195,123,0
null,343jo1ql3smt,null,null,null,null,197,122,0
null,343jo1ql3smt,null,null,null,null,191,121,0
null,343jo1ql3smt,null,null,null,null,199,122,0
null,343jo1ql3smt,null,null,null,null,194,123,0
null,343jo1ql3smt,null,null,null,null,197,123,0
null,343jo1ql3smt,null,null,null,null,192,122,0
null,343jo1ql3smt,null,null,null,null,194,122,0
null,343jo1ql3smt,null,null,null,null,198,122,0
null,343jo1ql3smt,null,null,null,null,188,123,0
null,343jo1ql3smt,null,null,null,null,194,124,0
null,343jo1ql3smt,null,null,null,null,194,122,0
null,343jo1ql3smt,null,null,null,null,200,122,0
null,343jo1ql3smt,null,null,null,null,198,123,0
null,343jo1ql3smt,null,null,null,null,194,120,0
null,343jo1ql3smt,null,null,null,null,202,122,0
null,343jo1ql3smt,null,null,null,null,194,124,0
null,343jo1ql3smt,null,null,null,null,195,123,0
null,343jo1ql3smt,null,null,null,null,199,122,0
null,343jo1ql3smt,null,null,null,null,192,122,0
null,343jo1ql3smt,null,null,null,null,196,122,0
null,343jo1ql3smt,null,null,null,null,197,122,0
null,343jo1ql3smt,null,null,null,null,196,123,0
null,343jo1ql3smt,null,null,null,null,195,122,0
null,343jo1ql3smt,null,null,null,null,205,122,0
null,343jo1ql3smt,null,null,null,null,195,123,0
null,343jo1ql3smt,null,null,null,null,199,121,0
null,343jo1ql3smt,null,null,null,null,189,122,0
null,343jo1ql3smt,null,null,null,null,193,122,0
null,343jo1ql3smt,null,null,null,null,194,124,0
null,343jo1ql3smt,null,null,null,null,198,124,0
null,343jo1ql3smt,null,null,null,null,196,124,0
null,343jo1ql3smt,null,null,null,null,190,122,0
null,343jo1ql3smt,null,null,null,null,195,123,0
null,343jo1ql3smt,null,null,null,null,190,122,0
null,343jo1ql3smt,null,null,null,null,202,122,0
null,343jo1ql3smt,null,null,null,null,193,123,0
null,343jo1ql3smt,null,null,null,null,196,123,0
null,343jo1ql3smt,null,null,null,null,198,124,0
null,343jo1ql3smt,null,null,null,null,204,122,0
null,343jo1ql3smt,null,null,null,null,195,122,0
null,343jo1ql3smt,null,null,null,null,200,120,0
null,343jo1ql3smt,null,null,null,null,199,124,0
null,343jo1ql3smt,null,null,null,null,193,123,0
null,343jo1ql3smt,null,null,null,null,197,124,0
null,343jo1ql3smt,null,null,null,null,197,123,0
null,343jo1ql3smt,null,null,null,null,197,122,0
null,343jo1ql3smt,null,null,null,null,203,124,0
null,343jo1ql3smt,null,null,null,null,193,121,0
null,343jo1ql3smt,null,null,null,null,196,121,0
null,343jo1ql3smt,null,null,null,null,197,124,0
null,343jo1ql3smt,null,null,null,null,192,121,0
null,343jo1ql3smt,null,null,null,null,188,123,0
null,343jo1ql3smt,null,null,null,null,192,121,0
null,343jo1ql3smt,null,null,null,null,200,123,0
null,343jo1ql3smt,null,null,null,null,197,124,0
null,343jo1ql3smt,null,null,null,null,189,122,0
null,343jo1ql3smt,null,null,null,null,198,123,0
null,343jo1ql3smt,null,null,null,null,202,122,0
null,343jo1ql3smt,null,null,null,null,199,123,0
null,343jo1ql3smt,null,null,null,null,198,122,0
null,343jo1ql3smt,null,null,null,null,195,122,0
null,343jo1ql3smt,null,null,null,null,195,121,0
null,343jo1ql3smt,null,null,null,null,197,123,0
null,343jo1ql3smt,null,null,null,null,190,122,0
null,343jo1ql3smt,null,null,null,null,195,121,0
null,343jo1ql3smt,null,null,null,null,191,123,0
null,343jo1ql3smt,null,null,null,null,202,123,0
null,343jo1ql3smt,null,null,null,null,194,123,0
null,343jo1ql3smt,null,null,null,null,186,122,0
null,343jo1ql3smt,null,null,null,null,198,121,0
null,343jo1ql3smt,null,null,null,null,197,123,0
null,343jo1ql3smt,null,null,null,null,198,122,0
null,343jo1ql3smt,null,null,null,null,207,122,0
null,343jo1ql3smt,null,null,null,null,203,124,0
null,343jo1ql3smt,null,null,null,null,197,123,0
null,343jo1ql3smt,null,null,null,null,203,123,0
null,343jo1ql3smt,null,null,null,null,194,122,0
null,343jo1ql3smt,null,null,null,null,196,122,0
null,343jo1ql3smt,null,null,null,null,199,123,0
null,343jo1ql3smt,null,null,null,null,202,122,0
null,343jo1ql3smt,null,null,null,null,194,122,0
null,343jo1ql3smt,null,null,null,null,190,122,0
null,343jo1ql3smt,null,null,null,null,192,122,0
null,343jo1ql3smt,null,null,null,null,199,122,0
null,343jo1ql3smt,null,null,null,null,196,123,0
null,343jo1ql3smt,null,null,null,null,202,123,0
null,343jo1ql3smt,null,null,null,null,193,123,0
null,343jo1ql3smt,null,null,null,null,199,122,0
null,343jo1ql3smt,null,null,null,null,189,123,0
null,343jo1ql3smt,null,null,null,null,208,121,0
null,343jo1ql3smt,null,null,null,null,197,123,0
null,343jo1ql3smt,null,null,null,null,192,123,0
null,343jo1ql3smt,null,null,null,null,193,121,0
null,343jo1ql3smt,null,null,null,null,203,124,0
null,343jo1ql3smt,null,null,null,null,194,122,0
null,343jo1ql3smt,null,null,null,null,199,122,0
null,343jo1ql3smt,null,null,null,null,198,123,0
null,343jo1ql3smt,null,null,null,null,205,122,0
null,343jo1ql3smt,null,null,null,null,199,121,0
null,343jo1ql3smt,null,null,null,null,194,122,0
null,343jo1ql3smt,null,null,null,null,197,123,0
null,343jo1ql3smt,null,null,null,null,201,124,0
null,343jo1ql3smt,null,null,null,null,195,125,0
null,343jo1ql3smt,null,null,null,null,199,123,0
null,343jo1ql3smt,null,null,null,null,195,123,0
null,343jo1ql3smt,null,null,null,null,201,124,0
null,343jo1ql3smt,null,null,null,null,199,121,0
null,343jo1ql3smt,null,null,null,null,200,123,0
null,343jo1ql3smt,null,null,null,null,202,124,0
null,343jo1ql3smt,null,null,null,null,188,123,0
null,343jo1ql3smt,null,null,null,null,199,123,0
null,343jo1ql3smt,null,null,null,null,204,123,0
null,343jo1ql3smt,null,null,null,null,197,122,0
null,343jo1ql3smt,null,null,null,null,201,124,0
null,343jo1ql3smt,null,null,null,null,194,122,0
null,343jo1ql3smt,null,null,null,null,196,123,0
null,343jo1ql3smt,null,null,null,null,199,123,0
null,343jo1ql3smt,null,null,null,null,201,122,0
null,343jo1ql3smt,null,null,null,null,202,121,0
null,343jo1ql3smt,null,null,null,null,196,121,0
null,343jo1ql3smt,null,null,null,null,191,123,0
null,343jo1ql3smt,null,null,null,null,199,121,0
null,343jo1ql3smt,null,null,null,null,199,122,0
null,343jo1ql3smt,null,null,null,null,203,123,0
null,343jo1ql3smt,null,null,null,null,201,122,0
null,343jo1ql3smt,null,null,null,null,191,121,0
null,343jo1ql3smt,null,null,null,null,197,121,0
null,343jo1ql3smt,null,null,null,null,196,123,0
null,343jo1ql3smt,null,null,null,null,196,124,0
null,343jo1ql3smt,null,null,null,null,192,123,0
null,343jo1ql3smt,null,null,null,null,198,124,0
null,343jo1ql3smt,null,null,null,null,198,121,0
null,343jo1ql3smt,null,null,null,null,195,122,0
null,343jo1ql3smt,null,null,null,null,191,122,0
null,343jo1ql3smt,null,null,null,null,198,121,0
null,343jo1ql3smt,null,null,null,null,201,123,0
null,343jo1ql3smt,null,null,null,null,198,122,0
null,343jo1ql3smt,null,null,null,null,208,124,0
null,343jo1ql3smt,null,null,null,null,194,122,0
null,343jo1ql3smt,null,null,null,null,191,123,0
null,343jo1ql3smt,null,null,null,null,196,121,0
null,343jo1ql3smt,null,null,null,null,192,122,0
null,343jo1ql3smt,null,null,null,null,196,124,0
null,343jo1ql3smt,null,null,null,null,203,121,0
null,343jo1ql3smt,null,null,null,null,194,122,0
null,343jo1ql3smt,null,null,null,null,193,123,0
null,343jo1ql3smt,null,null,null,null,197,122,0
null,343jo1ql3smt,null,null,null,null,197,123,0
null,343jo1ql3smt,null,null,null,null,196,122,0
null,343jo1ql3smt,null,null,null,null,194,123,0
null,343jo1ql3smt,null,null,null,null,200,123,0
null,343jo1ql3smt,null,null,null,null,197,122,0
null,343jo1ql3smt,null,null,null,null,193,123,0
null,343jo1ql3smt,null,null,null,null,203,121,0
null,343jo1ql3smt,null,null,null,null,196,123,0
null,343jo1ql3smt,null,null,null,null,192,122,0
null,343jo1ql3smt,null,null,null,null,196,122,0
null,343jo1ql3smt,null,null,null,null,201,122,0
null,343jo1ql3smt,null,null,null,null,189,123,0
null,343jo1ql3smt,null,null,null,null,193,122,0
null,343jo1ql3smt,null,null,null,null,202,123,0
null,343jo1ql3smt,null,null,null,null,188,125,0
null,343jo1ql3smt,null,null,null,null,200,123,0
null,343jo1ql3smt,null,null,null,null,194,123,0
null,343jo1ql3smt,null,null,null,null,196,123,0
null,343jo1ql3smt,null,null,null,null,193,122,0
null,343jo1ql3smt,null,null,null,null,203,121,0
null,343jo1ql3smt,null,null,null,null,201,124,0
null,343jo1ql3smt,null,null,null,null,194,123,0
null,343jo1ql3smt,null,null,null,null,193,121,0
null,343jo1ql3smt,null,null,null,null,201,123,0
null,343jo1ql3smt,null,null,null,null,197,122,0
null,343jo1ql3smt,null,null,null,null,192,123,0
null,343jo1ql3smt,null,null,null,null,197,122,0
null,343jo1ql3smt,null,null,null,null,188,122,0
null,343jo1ql3smt,null,null,null,null,198,122,0
null,343jo1ql3smt,null,null,null,null,195,123,0
null,343jo1ql3smt,null,null,null,null,194,123,0
null,343jo1ql3smt,null,null,null,null,202,122,0
null,343jo1ql3smt,null,null,null,null,192,123,0
null,343jo1ql3smt,null,null,null,null,200,121,0
null,343jo1ql3smt,null,null,null,null,192,122,0
null,343jo1ql3smt,null,null,null,null,202,122,0
null,343jo1ql3smt,null,null,null,null,198,123,0
null,343jo1ql3smt,null,null,null,null,192,123,0
null,343jo1ql3smt,null,null,null,null,201,125,0
null,343jo1ql3smt,null,null,null,null,188,124,0
null,343jo1ql3smt,null,null,null,null,195,123,0
null,343jo1ql3smt,null,null,null,null,204,123,0
null,343jo1ql3smt,null,null,null,null,191,123,0
null,343jo1ql3smt,null,null,null,null,197,123,0
null,343jo1ql3smt,null,null,null,null,193,124,0
null,343jo1ql3smt,null,null,null,null,200,122,0
null,343jo1ql3smt,null,null,null,null,194,121,0
null,343jo1ql3smt,null,null,null,null,193,121,0
null,343jo1ql3smt,null,null,null,null,197,123,0
null,343jo1ql3smt,null,null,null,null,192,122,0
null,343jo1ql3smt,null,null,null,null,196,122,0
null,343jo1ql3smt,null,null,null,null,200,122,0
null,343jo1ql3smt,null,null,null,null,201,122,0
null,343jo1ql3smt,null,null,null,null,194,123,0
null,343jo1ql3smt,null,null,null,null,198,123,0
null,343jo1ql3smt,null,null,null,null,197,122,0
null,343jo1ql3smt,null,null,null,null,202,124,0
null,343jo1ql3smt,null,null,null,null,201,123,0
null,343jo1ql3smt,null,null,null,null,197,122,0
null,343jo1ql3smt,null,null,null,null,198,122,0
null,343jo1ql3smt,null,null,null,null,189,121,0
null,343jo1ql3smt,null,null,null,null,197,122,0
null,343jo1ql3smt,null,null,null,null,192,121,0
null,343jo1ql3smt,null,null,null,null,196,121,0
null,343jo1ql3smt,null,null,null,null,200,122,0
null,343jo1ql3smt,null,null,null,null,199,123,0
null,343jo1ql3smt,null,null,null,null,198,123,0
null,343jo1ql3smt,null,null,null,null,195,122,0
null,343jo1ql3smt,null,null,null,null,195,122,0
null,343jo1ql3smt,null,null,null,null,197,122,0
null,343jo1ql3smt,null,null,null,null,198,121,0
null,343jo1ql3smt,null,null,null,null,198,120,0
null,343jo1ql3smt,null,null,null,null,193,124,0
null,343jo1ql3smt,null,null,null,null,190,123,0
null,343jo1ql3smt,null,null,null,null,199,123,0
null,343jo1ql3smt,null,null,null,null,201,122,0
null,343jo1ql3smt,null,null,null,null,200,122,0
null,343jo1ql3smt,null,null,null,null,200,122,0
null,343jo1ql3smt,null,null,null,null,200,122,0
null,343jo1ql3smt,null,null,null,null,204,122,0
null,343jo1ql3smt,null,null,null,null,201,124,0
null,343jo1ql3smt,null,null,null,null,199,124,0
null,343jo1ql3smt,null,null,null,null,199,122,0
null,343jo1ql3smt,null,null,null,null,198,122,0
null,343jo1ql3smt,null,null,null,null,202,122,0
null,343jo1ql3smt,null,null,null,null,197,122,0
null,343jo1ql3smt,null,null,null,null,201,123,0
null,343jo1ql3smt,null,null,null,null,196,124,0
null,343jo1ql3smt,null,null,null,null,199,123,0
null,343jo1ql3smt,null,null,null,null,194,123,0
null,343jo1ql3smt,null,null,null,null,191,122,0
null,343jo1ql3smt,null,null,null,null,197,124,0
null,343jo1ql3smt,null,null,null,null,190,124,0
null,343jo1ql3smt,null,null,null,null,192,122,0
null,343jo1ql3smt,null,null,null,null,195,122,0
null,343jo1ql3smt,null,null,null,null,199,123,0
null,343jo1ql3smt,null,null,null,null,195,124,0
null,343jo1ql3smt,null,null,null,null,202,121,0
null,343jo1ql3smt,null,null,null,null,197,123,0
null,343jo1ql3smt,null,null,null,null,190,122,0
null,343jo1ql3smt,null,null,null,null,196,122,0
null,343jo1ql3smt,null,null,null,null,202,124,0
null,343jo1ql3smt,null,null,null,null,198,123,0
null,343jo1ql3smt,null,null,null,null,195,122,0
null,343jo1ql3smt,null,null,null,null,201,120,0
null,343jo1ql3smt,null,null,null,null,192,124,0
null,343jo1ql3smt,null,null,null,null,193,123,0
null,343jo1ql3smt,null,null,null,null,198,123,0
null,343jo1ql3smt,null,null,null,null,192,123,0
null,343jo1ql3smt,null,null,null,null,195,122,0
null,343jo1ql3smt,null,null,null,null,193,122,0
null,343jo1ql3smt,null,null,null,null,195,123,0
null,343jo1ql3smt,null,null,null,null,194,122,0
null,343jo1ql3smt,null,null,null,null,194,124,0
null,343jo1ql3smt,null,null,null,null,200,121,0
null,343jo1ql3smt,null,null,null,null,196,123,0
null,343jo1ql3smt,null,null,null,null,194,122,0
null,343jo1ql3smt,null,null,null,null,196,123,0
null,343jo1ql3smt,null,null,null,null,194,123,0
null,343jo1ql3smt,null,null,null,null,199,123,0
null,343jo1ql3smt,null,null,null,null,198,121,0
null,343jo1ql3smt,null,null,null,null,197,123,0
null,343jo1ql3smt,null,null,null,null,198,121,0
null,343jo1ql3smt,null,null,null,null,186,122,0
null,343jo1ql3smt,null,null,null,null,193,122,0
null,343jo1ql3smt,null,null,null,null,202,123,0
null,343jo1ql3smt,null,null,null,null,199,123,0
null,343jo1ql3smt,null,null,null,null,198,123,0
null,343jo1ql3smt,null,null,null,null,193,124,0
null,343jo1ql3smt,null,null,null,null,212,123,0
null,343jo1ql3smt,null,null,null,null,191,122,0
null,343jo1ql3smt,null,null,null,null,198,122,0
null,343jo1ql3smt,null,null,null,null,193,124,0
null,343jo1ql3smt,null,null,null,null,200,123,0
null,343jo1ql3smt,null,null,null,null,193,124,0
null,343jo1ql3smt,null,null,null,null,182,122,0
null,343jo1ql3smt,null,null,null,null,197,122,0
null,343jo1ql3smt,null,null,null,null,197,123,0
null,343jo1ql3smt,null,null,null,null,203,121,0
null,343jo1ql3smt,null,null,null,null,199,120,0
null,343jo1ql3smt,null,null,null,null,198,122,0
null,343jo1ql3smt,null,null,null,null,204,122,0
null,343jo1ql3smt,null,null,null,null,197,122,0
null,343jo1ql3smt,null,null,null,null,196,124,0
null,343jo1ql3smt,null,null,null,null,190,123,0
null,343jo1ql3smt,null,null,null,null,200,122,0
null,343jo1ql3smt,null,null,null,null,197,122,0
null,343jo1ql3smt,null,null,null,null,190,121,0
null,343jo1ql3smt,null,null,null,null,198,122,0
null,343jo1ql3smt,null,null,null,null,197,123,0
null,343jo1ql3smt,null,null,null,null,192,123,0
null,343jo1ql3smt,null,null,null,null,195,123,0
null,343jo1ql3smt,null,null,null,null,197,122,0
null,343jo1ql3smt,null,null,null,null,192,122,0
null,343jo1ql3smt,null,null,null,null,195,122,0
null,343jo1ql3smt,null,null,null,null,197,123,0
null,343jo1ql3smt,null,null,null,null,195,122,0
null,343jo1ql3smt,null,null,null,null,201,122,0
null,343jo1ql3smt,null,null,null,null,201,122,0
null,343jo1ql3smt,null,null,null,null,194,123,0
null,343jo1ql3smt,null,null,null,null,197,124,0
null,343jo1ql3smt,null,null,null,null,194,122,0
null,343jo1ql3smt,null,null,null,null,191,119,0
null,343jo1ql3smt,null,null,null,null,203,123,0
null,343jo1ql3smt,null,null,null,null,202,123,0
null,343jo1ql3smt,null,null,null,null,197,122,0
null,343jo1ql3smt,null,null,null,null,196,123,0
null,343jo1ql3smt,null,null,null,null,194,121,0
null,343jo1ql3smt,null,null,null,null,195,122,0
null,343jo1ql3smt,null,null,null,null,199,123,0
null,343jo1ql3smt,null,null,null,null,199,123,0
null,343jo1ql3smt,null,null,null,null,192,122,0
null,343jo1ql3smt,null,null,null,null,198,123,0
null,343jo1ql3smt,null,null,null,null,201,123,0
null,343jo1ql3smt,null,null,null,null,200,122,0
null,343jo1ql3smt,null,null,null,null,195,123,0
null,343jo1ql3smt,null,null,null,null,202,122,0
null,343jo1ql3smt,null,null,null,null,192,123,0
null,343jo1ql3smt,null,null,null,null,193,123,0
null,343jo1ql3smt,null,null,null,null,200,122,0
null,343jo1ql3smt,null,null,null,null,197,122,0
null,343jo1ql3smt,null,null,null,null,192,123,0
null,343jo1ql3smt,null,null,null,null,193,121,0
null,343jo1ql3smt,null,null,null,null,194,121,0
null,343jo1ql3smt,null,null,null,null,197,123,0
null,343jo1ql3smt,null,null,null,null,195,124,0
null,343jo1ql3smt,null,null,null,null,195,124,0
null,343jo1ql3smt,null,null,null,null,196,123,0
null,343jo1ql3smt,null,null,null,null,200,121,0
null,343jo1ql3smt,null,null,null,null,196,123,0
null,343jo1ql3smt,null,null,null,null,203,120,0
null,343jo1ql3smt,null,null,null,null,202,124,0
null,343jo1ql3smt,null,null,null,null,196,123,0
